start	end	text
3828	4809	Hey, Manpreet.
5450	6853	Hi, how are you, Mr. Paul?
9396	10198	Are you available now?
11359	12922	Yeah, yeah, yeah.
12942	13583	Thanks for calling back.
14384	18270	Yeah, just give me a second to kind of open up your account again.
18310	24560	So, yeah, it looks like self-install is available at your address, right?
26162	26903	What is available?
27744	28806	Self-install.
29005	33231	So I will be able to give you more bill credits that way instead of calling a technician.
34052	37858	If I roll out a technician, they'll be charging you $200, right?
38679	45609	So I prefer to kind of give you more bill credits to work with to use towards your first bill, right?
46711	48654	Okay.
48694	56085	Did you find out like when you're going to be canceling the services with Rogers or wherever you're using it now?
56105	58388	I just put a request for next Tuesday.
58874	84898	next tuesday okay okay next tuesday sweet sweet um so remember um what we were talking about last time uh for the one gigabyte of internet it was 68 dollars uh would you be uh wanting to go forward with that the same same price and same deal right okay yeah i i can promise you it's the best one we have we have right now so it's a cheap one i'd probably
85030	107460	i only have one concern can i have the billing under the business name or it needs to be under the person's name um oh like a business name um for this since it's residential it does have to be under uh like your your your uh yeah exactly your name okay okay
121143	126290	But yeah, I really appreciate getting the internet from me.
126310	130116	It really helped me in my workplace.
130416	135243	Let's see.
135303	136765	It's a little slow today.
136785	140951	I work with the bank, so I know what target means.
142093	142293	Oh, yeah.
142674	143935	Thank you.
145538	147781	Where do you work, may I ask?
147801	149323	I work in a credit union.
149343	150745	It's a service credit union.
151214	175568	oh okay okay interesting so what self install means um it means we're going to be shipping out the modem to your like the wi-fi hub to your house and in the box it's gonna have all the instructions how to install everything um it's going to be pretty straightforward
175885	187422	And again, even if you do need help, you can always call customer service or tech supports and they will definitely guide you down the line if you do need help downloading it.
187502	189145	I mean, sorry, installing it.
189926	196696	And also there are videos online on the PELS website on how to install the Wi-Fi hub and everything, right?
196716	197898	So it should be very straightforward.
198900	201864	Okay.
201884	203226	Getting to the page two.
203695	208323	I'm going to activate the services.
208583	211488	Generally, when do you want to be using tele-internet?
213030	218459	So once you mail me, how long will it take for me to receive it?
219040	222606	So we do say that it takes three to five business days.
224148	227053	I think we are aware that Canada Post is...
227455	229297	I think they are on a strike right now.
229558	232561	So we will use other different methods to ship it out to you, right?
233082	235145	Either through like FedEx or Purolator, right?
235986	240972	If you ship today, maybe by the beginning of next week, I will receive it?
242454	245077	Most likely, or maybe the end of this week, right?
245157	248241	Maybe a Friday, because it is like three business days or so.
249863	255690	But yeah, so my experience of customers getting the Wi-Fi modems,
255940	260704	is when I signed them up on a Sunday, they gave me feedback that they got it on a Tuesday.
261165	262186	So it is fairly quick.
263367	263907	Okay.
263927	266629	So maybe I will be receiving it by 23rd.
