start	end	text
27436	30140	Allô?
30160	30420	Oui, bonjour.
30441	46785	Est-ce que je parle à Louise?
46805	47366	Un instant, s'il vous plaît.
47386	47606	Oui, merci.
47626	47706	Oui?
47726	47927	Téléphone.
47947	48067	Télus.
48087	48187	Allô?
48207	48628	Oui, bonjour.
48648	51773	Est-ce que je parle bien, Louise?
51793	51873	Oui.
51893	55078	Oui, c'est que si vous êtes là, ça va bien?
55098	55418	Oui, ça va bien.
56191	63039	Oui, dans le fond, c'est ça que je vous appelle aujourd'hui concernant des offres qu'on a en ce moment sur l'Internet résidentiel.
63059	66523	Ce n'est pas tous nos clients qui sont au courant de ça.
66543	72570	Donc, c'est pour ça justement que je vous appelle aujourd'hui voir si on peut essayer de vous faire sauver de l'argent le plus possible.
72590	78316	Donc, en ce moment, vous êtes avec qui pour l'Internet?
78336	78717	Je suis avec Belle.
78737	80038	OK, puis vous payez combien environ?
81689	84175	Je paye 72.
84195	90410	72, est-ce que c'est juste l'Internet ou c'est avec la télé?
90430	94821	Non, avec la télé, ça monte à 100 quelques.
95476	106209	parce que justement, nous aussi, on a ce bundle-là en tant que tel qui vient de sortir la semaine passée.
106229	110674	Donc, on a l'Internet plus la télé à 104 $ par mois.
110695	119025	Ça fait que là, c'est sûr qu'il faudrait voir de votre côté avec Belle, c'est combien exactement que vous payez, puis c'est quoi aussi la vitesse de l'Internet que vous avez.
123030	123570	OK, mais c'est quoi le 104?
123590	124251	Parce que je pense que j'avais...
125125	130593	J'ai déjà parlé à quelqu'un, puis j'ai déjà un rendez-vous.
130613	131294	OK.
131334	136201	Vous avez déjà un rendez-vous avec quelqu'un?
136241	136442	Bien, oui.
136462	136522	OK.
136542	137483	Bien, c'est ça, dans le fond.
137503	140968	Écoute, c'était vague, là.
140988	141048	OK.
141068	141609	Bien, c'est ça.
141629	147678	Si vous voulez, je peux vous expliquer un peu plus en détail c'est quoi le 104 $, dans le fond.
147698	147758	OK.
148379	153003	Dans le fond, le 104$, ça vient avec l'Internet feed.
153023	155045	Justement, le fournisseur, c'est Bell.
155065	158408	Donc, si vous, vous êtes avec Bell, ça devrait fonctionner.
158428	164193	Côté télé, dans le fond, c'est 30 chaînes qui viennent avec.
164233	170559	C'est soit 30 chaînes de base ou sinon, c'est 30 chaînes que vous, vous pouvez décider dans le fond.
170679	177525	Ça vient aussi avec le choix de soit Disney+, Illico+, ou Amazon Prime qui vient avec.
179598	183283	Donc, c'est quelque chose qui est quand même assez intéressant.
183303	190253	C'est sûr qu'il faut quand même vérifier de notre côté, voir si ça passe chez vous aussi.
190273	194219	Je peux même passer ici.
194239	196081	Non, Illico, on n'a pas ça ici.
196101	202570	Non, mais c'est ça, mais c'est quelque chose que vous pouvez avoir dans le fond, qui vient avec le package.
202590	202650	OK.
202670	208018	Donc, c'est ça, je vous dis, vous avez le choix entre Disney+, Amazon Prime ou Illico+, qui vient avec.
211525	215106	Donc, je veux juste aller vers-ci et voir si votre adresse est correcte.
