start	end	text
6578	28747	Bonjour.
28767	28867	Allô?
28887	31431	Bonjour, est-ce que je parle à Denise?
31451	32832	Oui, c'est moi-même.
32852	35376	Oui, c'est que si vous voulez jeter l'eau, ça va bien?
35396	36417	Oui, ça va bien vous-même.
36903	38044	Super bien, merci.
38064	48156	Dans le fond, je vous appelle aujourd'hui concernant des offres exclusives qu'on a en ce moment sur l'Internet résidentiel.
48176	48957	Je viens de m'abonner avec vous autres.
48977	53763	Vous venez vous abonner à l'Internet avec TELUS?
53783	53863	Oui.
53883	58789	Est-ce que vous avez pris aussi la télé avec ça?
58809	58889	Oui.
58929	65637	Excellent.
65657	66538	Tandis que je vous ai, dans le forfait télé,
66873	69978	Tout ce qu'on a comme poste dans le menu, c'est des postes en anglais.
69999	71521	Il n'y a pratiquement rien en français.
71541	80657	C'est supposé être le forfait franco plus je ne sais pas trop quoi.
80677	87489	On n'a presque pas de... C'est vous qui a décidé les chaînes ou vous avez pris les chaînes de base dans le fond?
87510	88932	On a pris les chaînes de base.
89570	101105	Les chaînes de base, OK, parce que c'est supposé de venir avec TVA, TVA Nouvelles, TV5, c'est supposé de venir avec des chaînes en téléphone.
101125	101505	On a vu passer TVA.
101525	101605	Oui.
101625	103147	Non, il n'est pas dedans.
103167	105691	Il n'est pas dedans.
105711	105771	OK.
105791	114862	Est-ce qu'il faut qu'on lui dise qu'on est franco?
114882	115543	Parce que ça, c'était le forfait.
115563	117045	C'est plutôt le forfait anglo qu'on a.
117734	125424	Ce que je peux faire pour vous, parce que moi, en tant que tel, je n'ai pas vraiment accès à ça.
125444	127407	Je ne peux pas vraiment le changer en tant que tel.
127427	133295	Ce que je peux faire, c'est que je peux vous donner le numéro de téléphone du service clientèle.
133315	134477	Ah bien ça, je vais le trouver moi-même.
134497	135258	Ok, c'est ça.
135278	145351	Faites juste essayer de contacter le service clientèle puis leur demander, voir si eux, de leur côté, vont pouvoir le changer.
145371	145772	C'est 310-12-12, ça?
145792	145952	Comment?
146692	149376	Le service à clientèle, c'est 310-12-12?
149396	153282	Non, ce n'est pas ça.
153302	154243	Non, c'est le 558-2273.
154283	168203	558, tu peux mettre le crayon d'abord?
168223	168504	Oui.
168524	168704	558-2273.
168724	173391	2273, donc c'est le 866-558-2273.
176122	188628	5-5-8 ou 7-7-8?
188648	188848	5-5-8.
188868	189029	2-2-7-3.
189049	189690	Excellent.
189710	191774	J'ai la bonne affaire.
191794	191955	Parfait.
191975	192836	Je ne vais pas prendre plus de votre temps.
192856	193057	Excellent.
193077	193478	Bonne soirée à vous.
193498	193658	Bye-bye.
