start	end	text
12721	13843	Hello.
17808	22554	Hello.
22574	24817	Hi, this is Amanda.
26399	27401	Sorry.
27421	29944	This is a casting calling from college.
30064	34991	I was just calling to go with some options you have on your account before it expires.
35051	37534	Do you have a few minutes to speak today to hear the promo?
39537	39657	Sorry?
40666	43310	Do you have a few minutes to speak today to hear the promos?
45754	45855	Yeah.
45875	52025	Okay, so currently right now we have some great deals if you're looking to get a new device you wanted to upgrade.
52085	59277	The S25 Samsung is on sale as well as the Flip 6 Samsung.
60599	65307	Our iPhone 16 and 15 is on sale as well, just base model.
65860	70767	You also qualify for streaming services, which include Netflix, Disney Plus, Amazon Prime.
71208	75454	You can save up to 21% off when you bundle it to your mobility.
76135	81863	So you get all three for the price of, like, maybe one if you're paying for streaming services already.
81923	88593	Plus you get a fourth one, complimentary, which is TELUS Films, which is, like, local shows that you can watch.
90175	90656	Right.
94181	94281	Okay.
97130	102779	Were you thinking of maybe upgrading your phone, adding a line, or interested in streaming services?
102799	104121	Yeah, I was thinking of upgrading my phone.
105443	105884	Pardon me?
107026	108989	Yeah, I was thinking of upgrading my phone.
109790	110471	Upgrading your phone.
110491	111372	What phone do you have right now?
112755	115539	I am currently having iPhone 11 Pro.
117182	117742	Which iPhone?
118684	119766	11 Pro.
119786	121028	11 Pro.
121388	123812	Were you looking for a Pro series?
124805	127149	Is the base model, like, good for you?
128911	130514	Yeah, basic model will work for me as well.
130534	130714	Okay.
131095	136864	Okay, let me tell you what's on sale between the newest models.
136884	145037	So iPhone 16 right now is $35.29, and iPhone 16 is $34.21.
145397	149964	So obviously the newer one is cheaper by around $2 to $1.
150084	151707	Yeah.
151754	159410	So in order to get a phone, though, you would have to change your plan, what I could do for you, minimum plan I can offer.
163799	169712	Yeah, I will tell you the complete price.
169852	171636	Give me one second.
181049	184034	So plan and phone included, 107.66.
184134	187580	So the plan is $65.
187640	191667	You get 100 GB, and the phone is $34.21.
191887	195333	With pass, 107.66.
195654	200642	That's way too much for me.
200662	201023	Okay.
201583	202225	No problem.
202846	206011	Well, we will have back-to-school deals in July or August.
206091	207293	So if you are...
207627	213625	thinking about maybe doing it then, you can give me a call back to check with prices and then we can go through there, okay?
214629	215331	Yeah, I will, okay.
215612	217477	Okay, have a good day, bye.
217497	217738	Thanks, bye.
